id,release_date,budget,revenue,adjusted_budget,num_of_tickets_sold,year,cost_per_ticket
688,1995-05-28,24000000,182016617,51696551.724137925,84500777.36926362,1995,4.35
691,1977-07-07,14000000,185438673,58825112.10762332,44133216.733191036,1977,2.23
692,1972-03-12,12000,6000000,66141.17647058824,1088580.576307364,1972,1.7
693,2004-12-22,80000000,516642939,120708534.62157808,342406899.80683035,2004,6.21
694,1980-05-22,19000000,44017374,66182156.13382899,12636791.468516544,1980,2.69
698,1979-06-26,34000000,210308099,126924302.78884462,56336534.52401281,1979,2.51
699,1981-06-23,28000000,195312802,94374100.71942446,57947661.639274284,1981,2.78
700,1983-06-05,27500000,187500000,81801587.3015873,63033617.92956244,1983,3.15
702,1951-09-18,1800000,8000000,31822641.50943396,452508.0042689435,1951,0.53
703,1977-04-19,4000000,38251425,16807174.887892377,9103594.210245464,1977,2.23
704,1964-07-06,560000,12299668,5642150.537634408,1220778.1472785487,1964,0.93
707,1985-05-24,30000000,152427960,79183098.59154929,57750187.620064035,1985,3.55
708,1987-06-29,40000000,191185897,95856777.49360614,79779814.00960512,1987,3.91
709,1989-07-07,32000000,156167015,75526448.36272039,66166814.25293491,1989,3.97
710,1995-11-16,58000000,352194034,124933333.33333333,163505234.5677695,1995,4.35
711,2000-12-21,43000000,80049764,74751391.46567719,46047836.49519744,2000,5.39
712,1994-03-09,6000000,254700832,13449760.765550237,113623210.00640343,1994,4.18
713,1993-05-19,7000000,116700000,15842995.169082124,51562219.85058698,1993,4.14
714,1997-12-11,110000000,333011068,224553376.90631807,163129221.14407685,1997,4.59
744,1986-05-16,15000000,356830601,37884097.03504043,141285115.23052296,1986,3.71
745,1999-08-06,40000000,672806292,73779527.5590551,364765844.54215586,1999,5.08
746,1987-10-21,23000000,43984230,55117647.058823526,18354145.069370333,1987,3.91
747,2004-04-09,4000000,30039392,6035426.731078904,19908711.24012807,2004,6.21
752,2006-03-15,54000000,132511035,77248854.96183206,92630446.02454643,2006,6.55
754,1997-06-27,80000000,245676146,163311546.8409586,120347226.26894343,1997,4.59
755,1996-01-19,19000000,25836616,40278280.54298642,12187603.27854856,1996,4.42
756,1940-11-13,2280000,83320000,89015000.0,2134130.2027748134,1940,0.24
762,1975-03-13,400000,5028948,1828292.6829268292,1100250.0960512273,1975,2.05
764,1981-10-15,350000,29400000,1179676.2589928056,8722732.12379936,1981,2.78
765,1987-03-13,3600000,5923044,8627109.974424552,2471622.416221985,1987,3.91
766,1992-10-09,11000000,21502976,24836144.57831325,9523730.032017076,1992,4.15
767,2009-07-07,250000000,933959197,312333333.3333333,747566059.4983993,2009,7.5
768,2001-10-19,35000000,74558115,57941696.1130742,45037239.15688368,2001,5.66
769,1990-09-12,25000000,46836394,55378250.591016546,21143857.696905017,1990,4.23
770,1939-12-15,4000000,400176459,162956521.7391304,9822901.341515476,1939,0.23
771,1990-11-09,18000000,476684675,39872340.42553191,215194895.97118464,1990,4.23
772,1992-11-19,18000000,358991681,40640963.855421685,158998449.96264675,1992,4.15
773,2006-07-26,8000000,100523181,11444274.809160305,70269672.95090716,2006,6.55
782,1997-09-07,36000000,12532777,73490196.07843137,6139321.924226254,1997,4.59
783,1982-11-30,22000000,77737889,70115646.25850339,24391610.84951975,1982,2.94
786,2000-09-15,60000000,47383689,104304267.16141002,27256999.328708645,2000,5.39
787,2005-06-07,110000000,478207520,160795631.82527298,327140896.8196372,2005,6.41
788,1993-11-24,25000000,441286195,56582125.60386473,194975970.89647815,1993,4.14
790,1980-02-08,1000000,21378361,3483271.3754646834,6137437.683030951,1980,2.69
792,1986-12-18,6000000,138530565,15153638.81401617,54850415.81109926,1986,3.71
794,1976-06-06,2800000,60922980,12317370.89201878,13849087.235859124,1976,2.13
795,1998-04-10,55000000,198685114,109882729.2110874,99448578.93916757,1998,4.69
796,1999-03-05,10500000,75902208,19367125.98425197,41150823.547492,1999,5.08
801,1987-12-23,13000000,123922370,31153452.685421992,51711469.23159018,1987,3.91
802,1962-06-13,2000000,9250000,26771428.57142857,691035.2187833511,1962,0.7
805,1968-06-12,3200000,33395426,22888549.618320607,4668944.2966915695,1968,1.31
807,1995-09-22,33000000,327311859,71082758.62068965,151953744.57310566,1995,4.35
808,2001-05-16,60000000,484409218,99328621.90812719,292610050.5741729,2001,5.66
809,2004-05-19,150000000,919838758,226328502.41545892,609626327.3404483,2004,6.21
810,2007-05-17,160000000,798958165,217906976.744186,586641640.8964782,2007,6.88
811,1972-03-09,1000000,0,5511764.705882353,0.0,1972,1.7
812,1992-11-25,28000000,504050219,63219277.10843373,223245294.43436503,1992,4.15
813,1980-07-02,3500000,83453539,12191449.814126393,23958379.92636073,1980,2.69
816,1997-05-02,16500000,67683989,33683006.53594771,33155764.088580575,1997,4.59
817,1999-06-08,33000000,310940086,60868110.236220464,168577976.18783352,1999,5.08
818,2002-07-26,63000000,296655431,101602409.63855422,183945363.29882604,2002,5.81
819,1996-10-18,44000000,165615285,93276018.0995475,78123752.3692636,1996,4.42
820,1991-12-20,40000000,205405498,89026128.26603325,92289983.62646747,1991,4.21
821,1961-12-01,3000000,10000000,40739130.43478261,736392.742796158,1961,0.69
824,2001-03-09,52500000,179213434,86912544.16961129,108254859.8121665,2001,5.66
834,2006-01-12,50000000,111340801,71526717.5572519,77831616.49413021,2006,6.55
837,1983-02-04,5952000,2120439,17704838.095238093,712847.6894343651,1983,3.15
838,1973-08-01,777000,140000000,4113271.1864406774,26446104.589114197,1973,1.77
840,1977-11-16,20000000,303788635,84035874.43946189,72299749.8452508,1977,2.23
841,1984-12-14,40000000,30925690,111547619.04761904,11089681.792956242,1984,3.36
846,1998-06-19,66000000,189198313,131859275.05330488,94700116.11205979,1998,4.69
848,1981-06-26,18000000,14110013,60669064.74820144,4186321.8932764144,1981,2.78
849,1983-07-29,27000000,16519460,80314285.7142857,5553500.426894344,1983,3.15
850,1983-11-18,3300000,20653717,9816190.476190476,6943352.033084312,1983,3.15
853,2001-03-13,68000000,96976270,112572438.16254416,58579048.900747076,2001,5.66
854,1994-07-29,23000000,351583407,51557416.26794258,156842971.31910354,1994,4.18
855,2001-12-28,92000000,172989651,152303886.92579502,104495349.48345786,2001,5.66
857,1998-07-24,70000000,481840909,139850746.2686567,241177573.44823912,1998,4.69
859,1988-12-16,14000000,34670720,31917274.939172745,15207754.450373536,1988,4.11
860,1983-06-03,12000000,79567667,35695238.09523809,26749002.246531487,1983,3.15
861,1990-06-01,65000000,261317921,143983451.536643,117969563.05549628,1990,4.23
862,1995-10-30,30000000,373554033,64620689.65517241,173421562.8121665,1995,4.35
863,1999-10-30,90000000,497366869,166003937.007874,269650340.9306297,1999,5.08
864,1993-09-30,14000000,154864401,31685990.338164248,68424612.60832444,1993,4.14
865,1987-11-13,27000000,38122105,64703324.80818414,15907943.49519744,1987,3.91
866,2004-10-17,25000000,116766556,37721417.06924315,77387439.99573107,2004,6.21
869,2001-07-25,100000000,362211740,165547703.180212,218795992.3585913,2001,5.66
873,1985-12-18,15000000,146292009,39591549.295774646,55425467.65741729,1985,3.55
874,1966-12-12,3900000,28350000,33525688.07339449,3297918.890074707,1966,1.09
879,1991-12-11,70000000,300854823,155795724.46555817,135175966.36392745,1991,4.21
881,1992-12-11,40000000,243240178,90313253.01204818,107731775.74172893,1992,4.15
888,1994-05-26,46000000,341631208,103114832.53588516,152403249.67342585,1994,4.18
889,2000-04-28,83000000,59468275,144287569.57328385,34208538.12700107,2000,5.39
907,1965-12-22,11000000,111858363,102049504.95049503,12057304.869797228,1965,1.01
913,1999-08-06,48000000,124305181,88535433.07086614,67392776.89220919,1999,5.08
920,2006-06-08,120000000,461983149,171664122.13740456,322944463.8153682,2006,6.55
921,2005-06-02,88000000,108539911,128636505.46021838,74251956.19103523,2005,6.41
924,2004-03-19,28000000,102356381,42247987.11755233,67837046.53255071,2004,6.21
925,1989-06-30,6500000,37295445,15341309.823677579,15801805.40554963,1989,3.97
926,1999-12-23,45000000,90683916,83001968.503937,49164812.51654216,1999,5.08
927,1984-06-07,11000000,153083102,30675595.23809524,54894260.69583778,1984,3.36
928,1990-06-15,50000000,41482207,110756501.18203309,18726759.40341516,1990,4.23
935,1964-01-29,1800000,9440272,18135483.870967742,936974.7022411954,1964,0.93
943,1992-05-15,35000000,321731527,79024096.38554215,142495820.38954112,1992,4.15
944,1998-07-10,140000000,285444603,279701492.5373134,142874619.85805765,1998,4.69
947,1962-12-10,15000000,69995385,200785714.2857143,5229110.939167555,1962,0.7
948,1978-10-25,300000,70000000,1201282.0512820513,17481323.372465316,1978,2.34
950,2006-03-23,80000000,660940780,114442748.09160306,462023704.2689434,2006,6.55
951,1990-12-21,15000000,201957688,33226950.354609925,91171933.85699041,1990,4.23
953,2005-05-25,75000000,532680671,109633385.3354134,364405880.588047,2005,6.41
954,1996-05-22,80000000,457696359,169592760.18099546,215903725.37673426,1996,4.42
955,2000-05-24,125000000,546388105,217300556.58627087,314304363.4951974,2000,5.39
