id,budget,revenue,release_date,adjusted_revenue,year,cost_per_ticket,adjusted_budget,num_of_ticket_sold
9441,50000000,159710793,1998-12-25,319081051.26012784,1998,4.69,99893390.19189763,34053473.98720682
9449,29000000,0,1997-12-05,0.0,1997,4.59,59200435.7298475,0.0
9451,0,0,1999-04-23,0.0,1999,5.08,0.0,0.0
9466,0,0,1998-09-07,0.0,1998,4.69,0.0,0.0
9473,21000000,78608288,1999-06-30,144992058.77165353,1999,5.08,38734251.96850394,15474072.440944882
9513,60000000,141702264,2006-06-15,202709956.2870229,2006,6.55,85832061.06870228,21633933.435114503
9517,0,480811,2001-06-15,795971.5671378091,2001,5.66,0.0,84948.93992932863
9526,10000000,0,2006-06-09,0.0,2006,6.55,14305343.511450382,0.0
9555,0,0,2002-02-04,0.0,2002,5.81,0.0,0.0
9583,27000000,73839240,2002-06-07,119083249.36316696,2002,5.81,43543889.845094666,12708991.394148022
9587,18000000,50083616,1994-12-21,112268775.57894735,1994,4.18,40349282.296650715,11981726.315789474
9588,0,0,1990-10-17,0.0,1990,4.23,0.0,0.0
9591,0,34585416,1996-10-04,73317952.01809955,1996,4.42,0.0,7824754.751131222
9603,12000000,56631572,1995-07-19,121985707.96321838,1995,4.35,25848275.862068962,13018752.183908047
9613,0,0,2002-12-13,0.0,2002,5.81,0.0,0.0
9623,44000000,22754725,1996-02-02,48237957.74886878,1996,4.42,93276018.0995475,5148127.828054299
9625,45000000,20350000,1996-10-04,43140158.371040724,1996,4.42,95395927.60180995,4604072.398190046
9644,0,0,1993-02-04,0.0,1993,4.14,0.0,0.0
9647,32000000,60328558,1988-11-22,137537369.4549878,1988,4.11,72953771.2895377,14678481.265206812
9678,85000000,58292295,2000-11-10,101335585.18552876,2000,5.39,147764378.4786642,10814897.031539889
9683,0,0,2001-08-24,0.0,2001,5.66,0.0,0.0
9686,15000000,0,1989-03-10,0.0,1989,3.97,35403022.670025185,0.0
9689,16000000,0,2002-05-03,0.0,2002,5.81,25803786.57487091,0.0
9702,35000000,0,1993-02-05,0.0,1993,4.14,79214975.84541062,0.0
9707,1000000,0,2002-06-09,0.0,2002,5.81,1612736.660929432,0.0
9709,0,0,2004-08-20,0.0,2004,6.21,0.0,0.0
9713,60000000,12069719,1998-10-08,24113702.991471212,1998,4.69,119872068.23027717,2573500.8528784644
9715,30000000,81471882,1998-05-29,162770049.96588483,1998,4.69,59936034.11513858,17371403.411513858
9716,20000000,0,1996-12-06,0.0,1996,4.42,42398190.045248866,0.0
9729,25000000,0,2005-10-07,0.0,2005,6.41,36544461.778471135,0.0
