imdb_id,average_rating,num_votes
tt0060816,6.3,575
tt0061107,6.7,24792
tt0061747,7.0,35427
tt0061809,7.9,23982
tt0062138,7.3,18444
tt0062512,6.9,99195
tt0062622,8.3,604416
tt0062711,5.9,32478
tt0062794,7.0,6218
tt0063350,7.9,116692
tt0063385,7.4,34852
tt0063522,8.0,194050
tt0063592,5.6,2780
tt0063829,7.2,7721
tt0064115,8.0,202052
tt0064665,7.8,101250
tt0064757,6.7,81662
tt0064782,6.6,12417
tt0065054,7.0,5127
tt0065112,6.3,16750
tt0065214,7.9,77465
tt0065446,7.2,8597
tt0065462,6.1,41939
tt0065466,6.2,10051
tt0065528,7.1,21966
tt0065579,6.5,1744
tt0065611,6.1,1980
tt0066090,6.9,3427
tt0066141,6.6,1460
tt0066206,7.9,93804
tt0066473,7.5,31736
tt0066549,7.3,8934
tt0066580,8.2,16013
tt0066769,7.2,33710
tt0066808,7.0,34037
tt0066995,6.6,96766
tt0067065,6.3,32134
tt0067093,8.0,39541
tt0067116,7.7,110245
tt0067580,6.8,1197
tt0067756,6.7,26773
tt0067810,5.5,4603
tt0067992,7.8,178972
tt0068156,7.6,7681
tt0068408,6.1,30149
tt0068555,6.8,38099
tt0068611,7.4,41542
tt0068646,9.2,1623236
tt0068699,7.5,50016
tt0069089,6.1,22008
tt0069704,7.4,81899
tt0069768,5.5,28787
tt0070047,8.0,362696
tt0070328,6.8,97539
tt0070379,7.2,100362
tt0070518,7.3,18093
tt0070707,7.2,39803
tt0070735,8.3,241877
tt0071206,6.2,4394
tt0071230,7.7,126195
tt0071360,7.8,98860
tt0071524,7.3,12564
tt0071562,9.0,1131842
tt0071807,6.8,96190
tt0071853,8.2,501462
tt0072081,7.1,25180
tt0072271,7.5,137710
tt0072431,8.0,143625
tt0072626,4.6,707
tt0072684,8.1,150179
tt0072856,6.2,24563
tt0073195,8.0,543854
tt0073486,8.7,919390
tt0074174,7.3,20457
tt0074486,7.4,103266
tt0074512,6.8,20861
tt0074812,6.8,51781
tt0074958,8.1,145102
tt0075005,7.5,107465
tt0075147,6.5,11645
tt0075148,8.1,519329
tt0075222,6.7,16079
tt0075314,8.2,725978
tt0075686,8.0,252037
tt0075784,7.4,52252
tt0075860,7.6,185221
tt0075909,5.3,4857
tt0076009,3.8,22052
tt0076141,6.7,19904
tt0076175,6.3,3079
tt0076245,7.2,8698
tt0076257,6.5,17147
tt0076271,5.8,4589
tt0076451,6.7,18325
tt0076740,7.7,18115
tt0076752,7.1,99001
tt0076759,8.6,1233205
tt0077269,7.0,25694
tt0077294,6.9,20301
tt0077296,6.1,815
tt0077405,7.8,52951
tt0077416,8.1,311827
tt0077531,6.5,7215
tt0077572,6.4,16710
tt0077631,7.2,242486
tt0077651,7.7,233370
tt0077766,5.8,70786
tt0077838,8.2,16298
tt0077975,7.5,112111
tt0078346,7.3,159378
tt0078504,5.5,13849
tt0078723,5.8,31418
tt0078748,8.4,789047
tt0078754,7.9,28262
tt0078788,8.4,607362
tt0078869,6.0,23455
tt0078872,7.3,11789
tt0079116,7.6,121959
tt0079240,6.9,16063
tt0079501,6.9,191957
tt0079550,5.0,6666
tt0079574,6.3,91531
